"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035959/2018","Zkvalitnění služeb v oblasti zdravotní péče v nemocnici Městec Králové","Nemocnice v Městci Králové patří k menším zdravotnickým zařízením v České republice, které disponuje 203 lůžky, na kterých poskytuje akutní péči v základních oborech – vnitřní lékařství a jednodenní chirurgie, včetně akutní intenzivní a resuscitační péče. Vedle toho poskytuje zdravotní péči v řadě specializovaných ambulancích. , V současné době nemocnice potřebuje vybavit pět dvoulůžkových pokojů pro pacienty následné péče, kteří po proběhlém akutním onemocnění, při progresi chronického onemocnění vyžadují déle trvající zdravotní, následnou léčebnou rehabilitační nebo ošetřovatelskou péči., V tuto chvíli je na pokojích vybavení, které bylo pořízeno před lety a jeho současný stav je uživatelsky i technicky zastaralý. Na pokojích jsou standardní postele, bez možnosti polohovaní, stejně tak stará křesla, která byla před lety pořízena pro jiné účely. Vybavení vhodné pro starší, nemocné imobilní pacienty s možností polohovaní, má mít jiné parametry než standardní křeslo a postel, které jsou určené pro krátkodobou hospitalizaci. , , V rámci žádosti bychom rádi požádali o finanční příspěvek na nákup 5 geriatrických křesel, 10 jídelních stolků a 10 souprav dek a polštářů. Městec Králové, jako zřizovatel nemocnice, plánuje pořídit 10 nových postelí z vlastních zdrojů. Z tohoto důvodu mu již nezbývají finanční prostředky na nákup zbývajícího nutného vybavení pokojů. , ,  Klienty především v nemocnici doléčujeme, rehabilitujeme a provádíme s nimi nácvik soběstačnosti s jasným cílem navrácení takové kondice, která umožní klientovi návrat do domácího prostředí. Geriatrické křeslo je alternativou pro pacienty, kteří jsou vzhledem k svému zdravotnímu handicapu nuceni být celý den na lůžku. Např. pacientům s kardiovaskulárním onemocněním se v křesle lépe dýchá a také jim nabízí optimální variantu odpočinku. Pacient při vstávání a usedání nezatěžuje kardiorespirační systém, sklon opěradla udržuje pacientovu optimální polohu. Nová křesla umožní snazší manipulaci, komfort a lepší zdravotní způsobilost pro uživatele a zmenší riziko pádu. Polohovatelnost rovněž pomůže obsluhujícímu personálu při manipulaci s uživateli, výrazně jim usnadní práci a sníží zátěž na jejich pohybový aparát. ,  , Mezi hlavní priority nemocnice kromě kvalitní péče o pacienty patří prevence pádů a dalších zranění na pokoji. Do této priority se promítá konstrukční řešení geriatrických křesel a samotné bezpečnostní parametry křesel, které mohou zabránit pádům pacientů a jejich dalšího zranění.  , Hlavním cílem projektu je zvýšení kvality zdravotní péče a uzdravování pacientů v nemocnici Městec Králové a snížení fyzické námahy personálu, a to zlepšením úrovně vybavení na jednotlivých pokojích nemocnice.  , ","neschváleno RK","88170","80000","","90.73380969"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035964/2018","Podpora kognitivních funkcí seniorů a zdravotně postižených","Dotace na služby / elektrická energie, topení , vodné, stočné aj. / za prostory kde se konají kurzy tréninků paměti pro skupiny seniorů a zdravotně postižených osob : klienti se učí a trénují jak si zlepšit pozornost, řečové funkce, vyjadřování,  zapamatování, organizování , koncentraci a zvládání různých životních situací .","neschváleno RK","21000","19800","","94.28571429"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035966/2018","soustředění A - mužstva HC Lev Benešov","Výcvikové centrum Pec pod Sněžkou z možností využití  kondiční metody zimní přípravy na ZS Vrchlabí, včetně stravy a ubytování.","neschváleno RK","67000","57000","","85.07462687"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035972/2018","Podpora organizace sportu mládeže FK PŠOVKA MĚLNÍK","Projektem se rozumí zajištění organizované sportovní činnosti, zejména dětí a mládeže ve fotbalovém klubu PŠOVKA MĚLNÍK. V našem klubu působí celkem 10 týmů, které jsou rozděleny do kategorií mini přípravka, dvě mladší přípravky, starší přípravka, mladší žáci, dvoje starší žáci, dorost a dva týmy dospělých. Družstva mladších a starších A-žáků, dorostu, a A-tým dospělých působí na ve svých soutěžích na krajské úrovni. Družstva všech přípravek, B-tým starších žáků a B-tým dospělých působí v okresních soutěžích Mělnicka. Dále družstva všech kategorií přípravek a žáků kromě svých soutěží absolvují několik turnajů v Praze a jeho okolí. Účelem a přínosem akce je rozvoj a podpora sportovních aktivit kolem 120 dětí mladšího a staršího věku, které působí v našem klubu v oblasti fotbalu, aktivně se podílet na využití volného času dětí a mládeže, na protidrogové a kriminální prevenci. Zaměřujeme se především na výchovu mladé generace fotbalistů, kteří u nás působí již od útlého věku 4.let až po kategorii dorostu, kde fotbalisté v 18. letech přecházejí mezi dospělé. Chceme dosáhnout postupného zlepšení sportovního rozvoje dětí a mládeže, jejich kázně při plnění zadaných úkolů, vybudování fyzické odolnosti jednotlivce v kolektivu, vypěstování zdravé ctižádosti a postupné zkvalitňování technických dovedností ve fotbale., ","neschváleno RK","74500","70000","","93.95973154"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035984/2018","Podpora nově vzniklého fotbalového oddílu","Prosíme tímto o podporu pro nově založený oddíl kopané a dále i žákovské kopané. Oddíl žákovského klubu pořádá letos v 25.8.2018 1 větší žákovský turnaj a potřebuje vybavit kvalitním a bezpečným materiálem. Obec Nová Ves musela v roce 2018 vybudovat zázemí v hodnotě 500 000 Kč.  Branka dětská zápasová, rozměr 5x2m vč. sítě 16.500 Kč,2ks. síť ochranná rozměr 7.5m x 21m, 5600Kč, 2ks.siť branková 7.5x2x2m , 1940Kč  2ks.","neschváleno RK","48080","44200","","91.93011647"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035991/2018","Linka důvěry ","Projekt Linky důvěry pro Středočeský kraj je realizován od r.1998. Od r.2007 jako registrovaná sociální služba zahrnutá do sítě sociálních služeb Středočeského kraje. V roce 2018 je služba poskytovaná na základě smlouvy o pověření k poskytování služby obecného hospodářského zájmu č. S-16802/SOC/2016. Služba je poskytována celoročně a je určena lidem v krizi z celého Středočeského kraje. Vedle dotace na základě smlouvy S-0164/SOC/2018 je podpořena ze strany města Kutné Hory. O podporu jsme žádali také Humanitární fond Stř.kraje, kde jsme letos neuspěli (v roce 2017 ano) a znamená to pro nás vážné ohrožení služby. Proto se obracíme na Fond hejtmanky s žádostí o podporu dlouholeté služby telefonické krizové pomoci v 2.polovině roku 2018.Služba je určena pro bezprostřední ošetření krize jako prevence suicidálního jednání a dalších negativních důsledků krize. Krizový pracovník je k dispozici na telefonu Linky důvěry od pondělí do pátku od 8.00 do 22.00 hodin, včetně svátků. ","neschváleno RK","544033","115000","","21.13842359"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035994/2018","Pořízení vybavení pro akce rybářského spolku","V rámci projektu dojde k pořízení výčepního zařízení s příslušenstvím a 5 setů k posezení. Toto vybavení doplní stávající vybavení rybářského spolku, tj. větší mobilní stan a posezení. Pořízené vybavení bude sloužit pro akce rybářského spolku, ale i veřejnosti. Jedná se zejména o tyto akce: výroční schůze, rybářský ples, dětské rybářské závody, rybářské závody pro dospělé členy, veřejné rybářské závody, prezentace spolku na rožďalovických slavnostech a tradiční výlovy rybníků s hojnou účastí veřejnosti. Rybářský spolek má 200 dospělých členů a 40 dětí, které jsou organizovány i v rybářském kroužku.","neschváleno RK","32000","16000","","50"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/036002/2018","Kemp vítězů","Atletický kemp vítězů založila dvojice aktivních a velmi úspěšných sportovců. Projekt se totiž zrodil pod taktovkou Adama Sebastiana Helceleta a Denisy Rosolové, oba se kempů aktivně účastní. Kempy jsou zaměřené na děti od 6 do 11 let, probíhají formou pětidenních příměstských táborů, tedy rodiče si své děti vždy odpoledne vyzvedávají. Během dne jsou děti vedeny k aktivnímu sportování se zaměřením na atletiku, naučené dovednosti však uplatní v jakémkoli sportu, projekt hledí zejména na zlepšení motorických schopností. Děláme věci zcela jinak. Základem je u nás individuální přístup ke každému účastníkovi kempu, dbáme na psychologii jedince a zabýváme se novými metodami. V oblasti trénování dětí se snažíme sledovat trendy a účastnit se školení, které mohou naše dovednosti zlepšovat. Práce s dětmi je velmi specifická činnost a v atletice je důležité dodávat dětem sebevědomí, o což se po celou dobu našich kempů snažíme. Po skončení každého kempu diskutujeme s rodiči a dáváme jim zpětnou vazbu ohledně jejich dětí. Naopak přijímáme pochvaly i kritiku, ze které se snažíme poučit a dělat další projekty lépe. Zakončení kempu probíhá formou závodů tak, aby si děti zvykly na ostrý režim, zároveň však každého hodnotíme stejně, abychom podpořili dětskou psychiku. Na každém kempu probíhá výuka angličtiny, děti se naučí nové slovíčka z oblasti sportovní terminologie. V období letních prázdnin chceme uspořádat celkem tři pětidenní Kempy vítězů, každý s kapacitou 30 dětí. Zvolenými městy k uspořádání kempů jsou Slaný, Čelákovice, Říčany","neschváleno RK","359100","90000","","25.06265664"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/036010/2018","Nákup brusky na broušení bruslí pro HC Poděbrady z.s.","HC Poděbrady z.s. v současné době má zastoupení ve všech mládežnických soutěžích a také v Krajské lize dospělých. Tím se zvyšují počty hráčů v našem klubu a roste potřeba kvalitního broušení bruslí. V současné době má klub jednu malou brusku a osoba, která je pověřená broušením bruslí je zaměstnaná. Z toho důvodu někdy nastává situace, že brusle nejsou připraveny na zápas nebo na trénink. Hráči nebo jejich rodiče to začali řešit sami, a tak že brusle vozili k nabroušení na okolní stadiony. Tato situace je velmi nestandartní a dlouhodobě neudržitelná. Náš klub vidí jako řešení nákup automatické brusky PRO-SHARP, kterou leze naprogramovat a mohou ji obsluhovat následně sami trenéři. Na základě těchto faktů, bychom chtěli požádat Středočeský kraj o poskytnutí dotace na  tuto brusku.","neschváleno RK","160000","100000","","62.5"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/036018/2018","Letní kino Mikroregionu Hořovicko","Pro zkvalitnění kulturního života obcí je vítaným benefitem letní kino. Mikroregion Hořovicko v současnosti zastupuje 25 obcí. Na základě jejich poptávky by rád investoval do zařízení na provoz právě letního kina (ocelová konstrukce, projektor, zvuková aparatura, DVD/bd přehrávač a další příslušenství).","neschváleno RK","95000","90000","","94.73684211"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/036036/2018","86. ročník chodeckých závodů Poděbrady","Tento chodecký závod se poprvé uskutečnil v roce 1929 a patří k nejstarším atletickým závodům v Evropě - v roce 2018 se koná již 86. ročník. Historie závodu je spjata s významnými mezinárodními úspěchy našich chodců, medailistů olympijských her, mistrovství světa a mistrovství Evropy. V současné době na úspěšnou tradici navazuje Anežka Drahotová, juniorská mistryně světa v chůzi na 10km., 86. ročník chodeckých závodů Poděbrady se koná 7. dubna na lázeňské Kolonádě v Poděbradech. Závod se koná z pověření Evropské atletické asociace, jeho součástí je i tradiční mezistátní utkání v chůzi na 20km mužů a žen, a na 10km v kategorii juniorů a juniorek. V roce 2018 se mezistátního utkání zúčastní týmy Francie, Maďarska, Irska, Itálie, Litvy, Slovenska a České republiky. 86. ročník chodeckých závodů je taktéž mistrovskou soutěží pro nejlepší chodce a chodkyně České republiky v chůzi na 20km mužů a žen. Předpokládaný počet účastníků je – na základě zkušeností z předcházejících ročníků – 140 z toho 40 mužů, 30 žen, 30 juniorů a 34 juniorek., Mimoto bude dalších několik desítek českých závodníků startovat v národních závodech mládeže a veteránů na 5km, uskuteční se též závod chodeckých legend a příchozích – lázeňských hostů., Doprovodným programem bude i běžecký závod žáků a studentů poděbradských škol a program pro nejmenší – „Atletika pro děti“., Chodecké závody v Poděbradech mají dlouholetou tradici a patří každoročně k významným a populárním sportovním aktivitám v rámci České republiky i Evropy. V roce 2017 se v Poděbradech uskutečnila nejvýznamnější chodecká soutěž – Evropský pohár, za účasti cca 1000 akreditovaných účastníků z celé Evropy. Vzhledem ke sportovní úrovni i organizačnímu zajištění byla tato soutěž vyhodnocena jako nejzdařilejší v dosavadní historii Evropského poháru., Tento závod se pyšní velmi kvalitní tratí, díky které se ho účastní chodecká špička z celého světa a volí ho jako místo, pro plnění účastnických limitů pro nejvýznamnější světové akce. Každoročně se zde dosahuje výkonů, které patří každoročně k nejlepším v celosvětovém měřítku. Tato sportovní akce každoročně přiláká přibližně 1000 diváků, závod je vysílán Českou televizí a to povětšinou v záznamu., ČAS pro potřeby závodu mj. zajistí pro závodníky ubytování, dopravu, technické uspořádání, měření, organizační zajištění, event presentation a zajištění TV a médií.","neschváleno RK","2335000","200000","","8.56531049"
